08-18 01:46:13.980  5467  5488 I TestRunner: started: opening_a_conversation_shows_its_messages(jp.golia.mailrs.MailFlowTest)
08-18 01:46:13.981  5467  5488 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@757d5f1]
08-18 01:46:13.982  5467  5488 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:46:13.983   638  1065 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10354, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:46:13.984   498  1372 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:46:13.985   983  1124 D SplashScreenView: Build android.window.SplashScreenView{d8726cf V.E...... ......ID 0,0-0,0}
08-18 01:46:13.985   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:46:13.985   983  1124 D SplashScreenView: Branding: view: android.view.View{378c85c G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:46:13.987   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:46:13.990   498   498 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:46:13.992   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:46:13.993  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a0f56b in: PRE_ON_CREATE
08-18 01:46:13.993  5467  5467 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:46:13.996  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a0f56b in: CREATED
08-18 01:46:13.996  5467  5467 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@a0f56b
08-18 01:46:13.996  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a0f56b in: STARTED
08-18 01:46:13.996  5467  5467 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@a0f56b
08-18 01:46:13.997  5467  5467 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:46:13.997  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a0f56b in: RESUMED
08-18 01:46:13.997  5467  5467 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@a0f56b
08-18 01:46:13.997  1568  1840 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:46:14.023   455  5784 I RanchuHwc: logCompositionFallbackIfChanged: layer 6481 CompositionType fallback from 3 to 1
08-18 01:46:14.044   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +60ms
