08-18 01:38:43.472  3789  3808 I TestRunner: started: opening_a_conversation_shows_its_messages(jp.golia.mailrs.MailFlowTest)
08-18 01:38:43.473  3789  3808 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@51f9d26]
08-18 01:38:43.473   455   503 I RanchuHwc: logCompositionFallbackIfChanged: layer 5902 CompositionType fallback from 2 to 1
08-18 01:38:43.477  3789  3808 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:38:43.480   638  1384 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10350, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:38:43.489  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9f83f98 in: PRE_ON_CREATE
08-18 01:38:43.489  3789  3789 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:38:43.489   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:38:43.493   983  1124 D SplashScreenView: Build android.window.SplashScreenView{2315433 V.E...... ......ID 0,0-0,0}
08-18 01:38:43.493   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:38:43.493   983  1124 D SplashScreenView: Branding: view: android.view.View{91a93f0 G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:38:43.496  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9f83f98 in: CREATED
08-18 01:38:43.496  3789  3789 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@9f83f98
08-18 01:38:43.496  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9f83f98 in: STARTED
08-18 01:38:43.496  3789  3789 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@9f83f98
08-18 01:38:43.497  3789  3789 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:38:43.497   498  1372 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:38:43.498  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9f83f98 in: RESUMED
08-18 01:38:43.498  3789  3789 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@9f83f98
08-18 01:38:43.503  1568  1840 I AssistantForeground: (REDACTED) Get launcher package: %s
